Y,M,D,H,G(i),H_sun,T2m,WS10m,Int,,Electric Power (kW)
2020,1,14,20,0,0,7.91,16.07,0,,0.156885875
2020,1,14,21,0,0,9.38,17.31,0,,0.156885875
2020,1,14,22,0,0,9.9,17.31,0,,0.156885875
2020,1,14,23,0,0,10.21,17.45,0,,0.156885875
2020,1,15,0,0,0,10.28,16.97,0,,0.156885875
2020,1,15,1,0,0,10.13,16.34,0,,0.156885875
2020,1,15,2,0,0,9.88,15.03,0,,0.156885875
2020,1,15,3,0,0,9.57,12.76,0,,0.156885875
2020,1,15,4,0,0,9.17,10.34,0,,0.156885875
2020,1,15,5,0,0,8.82,8.83,0,,0.323028597
2020,1,15,6,0,0,8.62,8.48,0,,0.595172908
2020,1,15,7,0,0,8.09,7.59,0,,0.981274233
2020,1,15,8,0,0,7.72,7.17,0,,1.447713731
2020,1,15,9,54.77,6.87,7.45,7.38,0,,1.911261227
2020,1,15,10,44.28,10.64,7.26,7.66,0,,2.257888352
2020,1,15,11,40.74,12.51,7.34,8,0,,2.386876422
2020,1,15,12,25.68,12.32,7.37,7.93,0,,2.257888352
2020,1,15,13,15.94,10.1,7.39,7.86,0,,1.911261227
2020,1,15,14,21.25,6.02,7.35,7.59,0,,1.447713731
2020,1,15,15,0,0,7.27,7.38,0,,0.981274233
2020,1,15,16,0,0,7.15,7.59,0,,0.595172908
2020,1,15,17,0,0,7.09,7.93,0,,0.323028597
2020,1,15,18,0,0,7.13,8.55,0,,0.156885875
2020,1,15,19,0,0,7.12,10.14,0,,0.156885875
2020,1,15,20,0,0,7.21,10.48,0,,0.156885875
2020,1,15,21,0,0,7.28,11.17,0,,0.156885875
2020,1,15,22,0,0,7.35,11.52,0,,0.156885875
2020,1,15,23,0,0,7.4,11.72,0,,0.156885875
2020,1,16,0,0,0,7.45,11.79,0,,0.156885875
2020,1,16,1,0,0,7.46,11.59,0,,0.156885875
2020,1,16,2,0,0,7.44,11.31,0,,0.156885875
2020,1,16,3,0,0,7.37,10.9,0,,0.156885875
2020,1,16,4,0,0,7.31,10.62,0,,0.156885875
2020,1,16,5,0,0,7.24,10.21,0,,0.323028597
2020,1,16,6,0,0,7.15,9.79,0,,0.595172908
2020,1,16,7,0,0,7.25,9.03,0,,0.981274233
2020,1,16,8,0,0,7.15,8.34,0,,1.447713731
